url,tagName,value,no_of_chars,fontSize,color,height,width,fontFamily,fontWeight,fontVariant,lineHeight,letterSpacing,wordSpacing,textAlign,textDecoration,textTransform,margin,padding,backgroundColor,backgroundImage,backgroundPosition,backgroundRepeat,backgroundSize
https://tympanus.net/Development/TextureTransition,DIV,38983.68,188,14.4px,"rgb(245, 245, 245)",auto,auto,"Panton, sans-serif",400,normal,normal,normal,0px,start,"none solid rgb(245, 245, 245)",none,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/TextureTransition,DIV,18247.68,88,14.4px,"rgb(245, 245, 245)",auto,auto,"Panton, sans-serif",400,normal,normal,normal,0px,start,"none solid rgb(245, 245, 245)",none,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/TextureTransition,A,18247.68,88,14.4px,"rgb(245, 245, 245)",auto,auto,"Panton, sans-serif",400,normal,normal,normal,0px,start,"none solid rgb(245, 245, 245)",none,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/ScrollBlurTypography/,DIV,677376.0,294,48px,"rgba(227, 226, 220, 0.86)",auto,auto,"instrument-sans-variable, sans-serif",400,normal,57.6px,-2.4px,0px,start,"none solid rgba(227, 226, 220, 0.86)",none,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/ScrollBlurTypography/,DIV,677376.0,294,48px,"rgba(227, 226, 220, 0.86)",auto,auto,"instrument-sans-variable, sans-serif",400,normal,57.6px,-2.4px,0px,start,"none solid rgba(227, 226, 220, 0.86)",none,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/ScrollBlurTypography/,DIV,677376.0,294,48px,"rgba(227, 226, 220, 0.86)",auto,auto,"instrument-sans-variable, sans-serif",400,normal,57.6px,-2.4px,0px,start,"none solid rgba(227, 226, 220, 0.86)",none,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/ScrollBlurTypography/,DIV,677376.0,294,48px,"rgba(227, 226, 220, 0.86)",auto,auto,"instrument-sans-variable, sans-serif",400,normal,57.6px,-2.4px,0px,start,"none solid rgba(227, 226, 220, 0.86)",none,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/ScrollBlurTypography/,DIV,594432.0,258,48px,"rgba(227, 226, 220, 0.86)",auto,auto,"instrument-sans-variable, sans-serif",400,normal,57.6px,-2.4px,0px,start,"none solid rgba(227, 226, 220, 0.86)",none,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/ScrollBlurTypography/,DIV,594432.0,258,48px,"rgba(227, 226, 220, 0.86)",auto,auto,"instrument-sans-variable, sans-serif",400,normal,57.6px,-2.4px,0px,start,"none solid rgba(227, 226, 220, 0.86)",none,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
https://tympanus.net/Development/OnScrollTextHighlight/,DIV,7381920.0,2730,52px,"rgb(184, 175, 170)",auto,auto,"parabolica, serif",300,normal,62.4px,-1.17px,0px,start,"none solid rgb(184, 175, 170)",none,none,none,"rgba(0, 0, 0, 0)",none,0% 0%,repeat,auto
